2020-04-02 20:28:08.425285:	Precision:0.27116666666666667
2020-04-02 20:28:26.887449:	Precision:0.056666666666666664
2020-04-02 20:28:45.131375:	Precision:0.0
2020-04-02 20:29:02.953924:	Precision:0.06333333333333334
2020-04-02 20:29:20.174469:	Precision:0.17
2020-04-02 20:31:28.062905:	Precision:0.1712121212121212
2020-04-02 20:31:45.820791:	Precision:0.4533333333333333
2020-04-02 20:32:03.762032:	Precision:0.02
2020-04-02 20:33:38.357049:	Precision:0.20208333333333334
2020-04-02 20:36:29.823581:	Precision:0.027444444444444445
2020-04-02 20:39:44.076522:	Precision:0.24284313725490195
2020-04-02 20:40:02.752381:	Precision:0.21333333333333335
2020-04-02 20:41:25.108647:	Precision:0.6947619047619048
2020-04-02 20:41:43.332662:	Precision:0.0
2020-04-02 20:42:01.029678:	Precision:0.2916666666666667
2020-04-02 20:42:18.662653:	Precision:0.03
2020-04-02 20:42:36.904332:	Precision:0.2
2020-04-02 20:42:55.234023:	Precision:0.0
2020-04-02 20:43:12.753070:	Precision:0.11
2020-04-02 20:44:13.517772:	Precision:0.243
2020-04-02 20:44:31.506570:	Precision:0.395
2020-04-02 20:44:49.022389:	Precision:0.0
2020-04-02 20:45:17.638189:	Precision:0.1825
2020-04-02 20:46:20.043586:	Precision:0.04933333333333333
2020-04-02 20:46:38.489596:	Precision:0.015
2020-04-02 20:46:56.432321:	Precision:0.07333333333333333
2020-04-02 20:47:14.941199:	Precision:0.0
2020-04-02 20:47:33.013585:	Precision:0.0033333333333333335
2020-04-02 20:49:28.242812:	Precision:0.08233333333333333
2020-04-02 20:52:08.553061:	Precision:0.23238095238095238
2020-04-02 20:52:26.604382:	Precision:0.0
2020-04-02 20:53:28.419865:	Precision:0.4513333333333333
2020-04-02 20:53:46.886884:	Precision:0.215
2020-04-02 20:54:05.112570:	Precision:0.42333333333333334
2020-04-02 20:54:23.004143:	Precision:0.12333333333333334
2020-04-02 20:56:30.344596:	Precision:0.03424242424242424
2020-04-02 20:56:59.213524:	Precision:0.47583333333333333
2020-04-02 20:58:54.950646:	Precision:0.255
2020-04-02 20:59:12.854664:	Precision:0.11166666666666666
2020-04-02 20:59:30.718168:	Precision:0.3333333333333333
2020-04-02 20:59:48.404767:	Precision:0.25833333333333336
2020-04-02 21:00:06.263499:	Precision:0.31666666666666665
2020-04-02 21:02:14.260119:	Precision:0.5781818181818181
2020-04-02 21:04:10.974163:	Precision:0.07833333333333334
2020-04-02 21:05:33.523125:	Precision:0.47523809523809524
2020-04-02 21:05:51.134021:	Precision:0.4633333333333333
2020-04-02 21:06:08.566626:	Precision:0.028333333333333332
2020-04-02 21:08:36.623126:	Precision:0.034102564102564105
2020-04-02 21:09:05.770386:	Precision:0.4166666666666667
2020-04-02 21:09:23.220428:	Precision:0.19833333333333333
2020-04-02 21:12:44.678542:	Precision:0.2425
2020-04-02 21:13:02.167453:	Precision:0.08
2020-04-02 21:16:04.287695:	Precision:0.19989583333333333
2020-04-02 21:18:33.979582:	Precision:0.33692307692307694
2020-04-02 21:18:52.348641:	Precision:0.075
2020-04-02 21:19:10.344490:	Precision:0.03666666666666667
2020-04-02 21:19:28.435794:	Precision:0.20333333333333334
2020-04-02 21:19:57.119629:	Precision:0.041666666666666664
2020-04-02 21:20:59.096406:	Precision:0.13266666666666665
2020-04-02 21:23:18.456047:	Precision:0.07930555555555556
2020-04-02 21:23:36.159076:	Precision:0.19166666666666668
2020-04-02 21:23:54.600700:	Precision:0.225
2020-04-02 21:26:03.089567:	Precision:0.09333333333333334
2020-04-02 21:26:21.585440:	Precision:0.2866666666666667
2020-04-02 21:27:45.366843:	Precision:0.18857142857142858
2020-04-02 21:28:36.082198:	Precision:0.015833333333333335
2020-04-02 21:28:53.947236:	Precision:0.3983333333333333
2020-04-02 21:29:11.530737:	Precision:0.0
2020-04-02 21:29:29.205535:	Precision:0.006666666666666667
2020-04-02 21:29:47.512428:	Precision:0.355
2020-04-02 21:32:06.700962:	Precision:0.09222222222222222
2020-04-02 21:32:24.839586:	Precision:0.10666666666666667
2020-04-02 21:33:25.737372:	Precision:0.487
2020-04-02 21:33:43.520675:	Precision:0.51
2020-04-02 21:34:58.077445:	Precision:0.1686111111111111
2020-04-02 21:35:16.766486:	Precision:0.10833333333333334
2020-04-02 21:35:34.874465:	Precision:0.0
2020-04-02 21:37:09.459124:	Precision:0.8716666666666667
2020-04-02 21:37:27.514057:	Precision:0.0
2020-04-02 21:39:47.590985:	Precision:0.017777777777777778
2020-04-02 21:40:05.257876:	Precision:0.16666666666666666
2020-04-02 21:41:38.903553:	Precision:0.6083333333333333
2020-04-02 21:41:56.703224:	Precision:0.17166666666666666
2020-04-02 21:42:14.500714:	Precision:0.06
2020-04-02 21:42:32.404535:	Precision:0.0
2020-04-02 21:42:50.098982:	Precision:0.08
2020-04-02 21:46:11.892807:	Precision:0.13046296296296298
2020-04-02 21:46:29.717334:	Precision:0.013333333333333334
2020-04-02 21:46:47.494409:	Precision:0.01
2020-04-02 21:47:04.979360:	Precision:0.6216666666666667
2020-04-02 21:47:23.123441:	Precision:0.32666666666666666
2020-04-02 21:47:41.844305:	Precision:0.12
2020-04-02 21:49:05.989187:	Precision:0.5557142857142857
2020-04-02 21:51:24.261794:	Precision:0.12819444444444444
2020-04-02 21:54:45.726256:	Precision:0.06324074074074074
2020-04-02 21:57:25.564310:	Precision:0.11095238095238096
2020-04-02 21:57:43.408665:	Precision:0.09666666666666666
2020-04-02 21:58:01.393771:	Precision:0.6433333333333333
2020-04-02 22:00:07.996205:	Precision:0.03590909090909091
2020-04-02 22:00:25.971204:	Precision:0.615
2020-04-02 22:00:43.730212:	Precision:0.215
2020-04-02 22:01:46.185472:	Precision:0.039
2020-04-02 22:02:37.749011:	Precision:0.0
2020-04-02 22:02:55.232342:	Precision:0.3333333333333333
2020-04-02 22:03:12.860847:	Precision:0.275
2020-04-02 22:03:30.343987:	Precision:0.08166666666666667
2020-04-02 22:05:50.150446:	Precision:0.08222222222222222
2020-04-02 22:06:08.657181:	Precision:0.49833333333333335
2020-04-02 22:06:27.061696:	Precision:0.0
2020-04-02 22:06:45.188506:	Precision:0.2
2020-04-02 22:07:02.782074:	Precision:0.33166666666666667
2020-04-02 22:07:21.050699:	Precision:0.18666666666666668
2020-04-02 22:07:39.352969:	Precision:0.14
2020-04-02 22:07:56.970851:	Precision:0.215
2020-04-02 22:08:14.441083:	Precision:0.22333333333333333
2020-04-02 22:08:33.329428:	Precision:0.025
2020-04-02 22:08:50.695428:	Precision:0.17
2020-04-02 22:09:08.784898:	Precision:0.02666666666666667
2020-04-02 22:11:15.435394:	Precision:0.08818181818181818
2020-04-02 22:11:34.113568:	Precision:0.4666666666666667
2020-04-02 22:12:13.531168:	Precision:0.04777777777777778
2020-04-02 22:12:31.474897:	Precision:0.09166666666666666
2020-04-02 22:12:49.407667:	Precision:0.065
2020-04-02 22:13:17.868840:	Precision:0.4508333333333333
2020-04-02 22:16:17.913871:	Precision:0.11010416666666667
2020-04-02 22:16:36.263087:	Precision:0.07333333333333333
2020-04-02 22:17:39.083665:	Precision:0.16266666666666665
2020-04-02 22:18:41.450194:	Precision:0.29633333333333334
2020-04-02 22:18:59.348569:	Precision:0.13333333333333333
2020-04-02 22:21:28.625347:	Precision:0.03487179487179487
2020-04-02 22:21:46.283564:	Precision:0.3616666666666667
2020-04-02 22:22:49.228667:	Precision:0.127
2020-04-02 22:25:06.954373:	Precision:0.4688888888888889
2020-04-02 22:25:35.505451:	Precision:0.1175
2020-04-02 22:26:15.377237:	Precision:0.22722222222222221
2020-04-02 22:27:49.755446:	Precision:0.05520833333333333
2020-04-02 22:29:13.599217:	Precision:0.4676190476190476
2020-04-02 22:29:31.801519:	Precision:0.0
2020-04-02 22:29:50.144520:	Precision:0.14166666666666666
2020-04-02 22:31:58.365611:	Precision:0.0006060606060606061
2020-04-02 22:32:16.511088:	Precision:0.09166666666666666
2020-04-02 22:34:01.101998:	Precision:0.2238888888888889
2020-04-02 22:36:17.053119:	Precision:0.13722222222222222
2020-04-02 22:36:34.751885:	Precision:0.07333333333333333
2020-04-02 22:36:52.238990:	Precision:0.255
2020-04-02 22:37:10.444823:	Precision:0.12666666666666668
2020-04-02 22:37:28.702781:	Precision:0.19833333333333333
2020-04-02 22:37:46.963520:	Precision:0.0
2020-04-02 22:39:20.737450:	Precision:0.505
2020-04-02 22:39:49.524613:	Precision:0.034166666666666665
2020-04-02 22:41:34.754504:	Precision:0.0
2020-04-02 22:41:53.363655:	Precision:0.4
2020-04-02 22:42:11.671413:	Precision:0.1
2020-04-02 22:42:29.049133:	Precision:0.13166666666666665
2020-04-02 22:42:47.316132:	Precision:0.0
2020-04-02 22:43:05.600973:	Precision:0.075
2020-04-02 22:43:23.726626:	Precision:0.09833333333333333
2020-04-02 22:43:41.985686:	Precision:0.035
2020-04-02 22:44:00.225444:	Precision:0.04833333333333333
2020-04-02 22:44:18.080657:	Precision:0.20666666666666667
2020-04-02 22:44:35.928495:	Precision:0.125
2020-04-02 22:44:53.839896:	Precision:0.15333333333333332
2020-04-02 22:45:12.194475:	Precision:0.0
2020-04-02 22:45:53.056854:	Precision:0.22055555555555556
2020-04-02 22:46:10.829100:	Precision:0.23833333333333334
2020-04-02 22:48:17.637308:	Precision:0.07666666666666666
2020-04-02 22:48:35.943035:	Precision:0.0
2020-04-02 22:48:53.394015:	Precision:0.4216666666666667
2020-04-02 22:49:22.245151:	Precision:0.005
2020-04-02 22:49:39.918947:	Precision:0.0
2020-04-02 22:49:57.860949:	Precision:0.245
2020-04-02 22:51:54.675951:	Precision:0.0011666666666666668
2020-04-02 22:52:23.366088:	Precision:0.1825
2020-04-02 22:52:52.726564:	Precision:0.12916666666666668
2020-04-02 22:53:10.823215:	Precision:0.021666666666666667
2020-04-02 22:53:28.886220:	Precision:0.2966666666666667
2020-04-02 22:54:20.925189:	Precision:0.0675
2020-04-02 22:55:54.796177:	Precision:0.418125
2020-04-02 22:56:12.071051:	Precision:0.14166666666666666
2020-04-02 22:58:49.980244:	Precision:0.4220238095238095
2020-04-02 22:59:07.908466:	Precision:0.0
2020-04-02 22:59:25.668966:	Precision:0.21166666666666667
2020-04-02 22:59:43.797549:	Precision:0.14
2020-04-02 23:00:02.203814:	Precision:0.08666666666666667
2020-04-02 23:00:19.951192:	Precision:0.051666666666666666
2020-04-02 23:00:37.659918:	Precision:0.3883333333333333
2020-04-02 23:00:55.552244:	Precision:0.2
2020-04-02 23:01:13.496517:	Precision:0.21
2020-04-02 23:01:30.964652:	Precision:0.17
