2020-04-08 21:28:08.887612:	Precision:0.7283333333333334
2020-04-08 21:28:22.068163:	Precision:0.6885
2020-04-08 21:28:35.644458:	Precision:0.70975
2020-04-08 21:28:49.148583:	Precision:0.80075
2020-04-08 21:29:02.628904:	Precision:0.7985
2020-04-08 21:29:50.297104:	Precision:0.7445416666666667
2020-04-08 21:30:04.209581:	Precision:0.88175
2020-04-08 21:30:17.800683:	Precision:0.794
2020-04-08 21:30:31.147477:	Precision:0.7585
2020-04-08 21:30:44.141748:	Precision:0.54975
2020-04-08 21:31:03.833745:	Precision:0.6795
2020-04-08 21:31:23.757748:	Precision:0.605875
2020-04-08 21:32:34.800159:	Precision:0.7579444444444444
2020-04-08 21:32:56.302576:	Precision:0.745125
2020-04-08 21:33:10.300704:	Precision:0.72775
2020-04-08 21:33:24.182553:	Precision:0.9
2020-04-08 21:34:06.725180:	Precision:0.7589
2020-04-08 21:34:20.195904:	Precision:0.7765
2020-04-08 21:34:33.165910:	Precision:0.766
2020-04-08 21:34:46.303636:	Precision:0.8265
2020-04-08 21:34:59.270393:	Precision:0.60275
2020-04-08 21:35:12.407799:	Precision:0.82525
2020-04-08 21:35:25.430939:	Precision:0.847
2020-04-08 21:36:22.701539:	Precision:0.6937857142857143
2020-04-08 21:36:36.235534:	Precision:0.7595
2020-04-08 21:36:50.339505:	Precision:0.7335
2020-04-08 21:37:04.425554:	Precision:0.69625
2020-04-08 21:37:18.679440:	Precision:0.7605
2020-04-08 21:37:33.257982:	Precision:0.73325
2020-04-08 21:37:47.331427:	Precision:0.8665
2020-04-08 21:38:01.360450:	Precision:0.78
2020-04-08 21:38:15.632837:	Precision:0.7
2020-04-08 21:38:29.183997:	Precision:0.77975
2020-04-08 21:39:26.563691:	Precision:0.6857142857142857
2020-04-08 21:39:40.494078:	Precision:0.7595
2020-04-08 21:39:54.767880:	Precision:0.7495
2020-04-08 21:40:30.608760:	Precision:0.7730625
2020-04-08 21:41:13.640772:	Precision:0.72895
2020-04-08 21:41:27.250045:	Precision:0.687
2020-04-08 21:41:41.761786:	Precision:0.72375
2020-04-08 21:41:55.372747:	Precision:0.77475
2020-04-08 21:42:08.701424:	Precision:0.778
2020-04-08 21:42:22.278237:	Precision:0.7575
2020-04-08 21:42:35.509788:	Precision:0.6995
2020-04-08 21:43:11.281350:	Precision:0.81325
2020-04-08 21:44:16.007102:	Precision:0.71115625
2020-04-08 21:44:30.000563:	Precision:0.6015
2020-04-08 21:44:43.797454:	Precision:0.8
2020-04-08 21:44:57.187058:	Precision:0.7
2020-04-08 21:45:39.629265:	Precision:0.7535
2020-04-08 21:45:53.421525:	Precision:0.78025
2020-04-08 21:46:07.042045:	Precision:0.73525
2020-04-08 21:46:27.766735:	Precision:0.80025
2020-04-08 21:46:41.808182:	Precision:0.8
2020-04-08 21:46:56.091181:	Precision:0.77625
2020-04-08 21:47:25.210259:	Precision:0.7355833333333334
